channel_noise_probability,eve_interception_rate,average_qber,std_qber,trials_per_rate,qubits_per_trial
0.0,0.0,0.0,0.0,20,5000
0.02,0.0,0.020290000525844183,0.0027155833101781515,20,5000
0.04,0.0,0.039674277948264024,0.004092338056501279,20,5000
0.06,0.0,0.061551197592668486,0.003771775405303386,20,5000
0.08,0.0,0.08105830631669368,0.005378963210477764,20,5000
0.1,0.0,0.10143412043725239,0.005214199688816247,20,5000
0.12,0.0,0.11790431698401418,0.00511252107941057,20,5000
0.14,0.0,0.14070273135668387,0.00544934975538451,20,5000
0.16,0.0,0.1605684828366371,0.006274373484793419,20,5000
0.18,0.0,0.18324329291375235,0.006355903504027088,20,5000
0.2,0.0,0.1994193065427919,0.006261848608623605,20,5000
